date,rf
2020-04-21,2.2783169794537983e-05
2020-04-22,-1.6114557836011123e-05
2020-04-23,2.2227334509183905e-05
2020-04-24,-1.5558788326042183e-05
2020-04-27,3.3340557119565517e-06
2020-04-28,2.0837778726079392e-05
2020-04-29,2.0281682001632717e-05
2020-04-30,1.97256194123252e-05
2020-05-01,-7.335020388021807e-05
2020-05-04,-2.1117375932577787e-05
2020-05-05,3.6122590068021765e-06
2020-05-06,2.750864229827954e-05
2020-05-07,2.6952170733451908e-05
2020-05-08,-2.0283045735425276e-05
2020-05-11,3.334244693675714e-06
2020-05-12,-1.8893990266333205e-05
2020-05-13,3.6121546223011336e-06
2020-05-14,2.528499102383286e-05
2020-05-15,3.3342002254688197e-06
2020-05-18,-1.7226528854497047e-05
2020-05-19,3.6120763382552212e-06
2020-05-20,2.361733690348089e-05
2020-05-21,3.3341335254899462e-06
2020-05-22,3.3341224090488453e-06
2020-05-26,-3.334077944083802e-05
2020-05-27,-1.4170303711313892e-05
2020-05-28,4.167795444764977e-06
2020-05-29,2.167244598560991e-05
2020-06-01,3.890280744878183e-06
2020-06-02,-2.111858474351802e-05
2020-06-03,-2.0563266780571077e-05
2020-06-04,2.8900320571345617e-05
2020-06-05,4.1681950049277106e-06
2020-06-08,-4.251505741614814e-05
2020-06-09,-4.140531299634542e-05
2020-06-10,5.0855610916222815e-05
2020-06-11,4.724051479998437e-06
2020-06-12,2.695475463809771e-05
2020-06-15,-3.8346626830665365e-05
2020-06-16,2.6121167760573272e-05
2020-06-17,4.723917583770998e-06
2020-06-18,2.528673349577737e-05
2020-06-19,2.4730355761448664e-05
2020-06-22,-1.5282298791330362e-05
2020-06-23,4.44582759073775e-06
2020-06-24,2.3340491084100634e-05
2020-06-25,-1.4448538196987215e-05
2020-06-26,4.112335673278622e-05
2020-06-29,3.889857031369459e-06
2020-06-30,-3.0563043501241616e-05
2020-07-01,5.5022498087975436e-05
2020-07-02,3.890265610762e-06
2020-07-06,-2.0006768956748466e-05
2020-07-07,4.1681602573895304e-06
2020-07-08,4.168142884175552e-06
2020-07-09,5.02953811611917e-05
2020-07-10,3.612193765878402e-06
2020-07-13,-1.8338631159964258e-05
2020-07-14,-1.778324118473229e-05
2020-07-15,-1.722782126400979e-05
2020-07-16,0.00011003765733152981
2020-07-17,3.056265288181592e-06
2020-07-20,-3.6952686946478686e-05
2020-07-21,3.6120502440173397e-06
2020-07-22,3.612037197342488e-06
2020-07-23,2.2783536949511074e-05
2020-07-24,2.2227334509183905e-05
2020-07-27,3.056171883564218e-06
2020-07-28,3.0561625434799566e-06
2020-07-29,3.056153203395695e-06
2020-07-30,3.7507220139954e-05
2020-07-31,2.5003875601115055e-06
2020-08-03,-2.2227223347548453e-05
2020-08-04,2.722895382456514e-05
2020-08-05,-2.1671434382142252e-05
2020-08-06,2.7784492362403768e-06
2020-08-07,2.7784415168596865e-06
2020-08-10,-2.000461217432914e-05
2020-08-11,3.0563213337941875e-06
2020-08-12,3.056311992599703e-06
2020-08-13,2.500611260525254e-05
2020-08-14,2.778387479418498e-06
2020-08-17,2.778364321498472e-06
2020-08-18,2.3338195457522914e-05
2020-08-19,-3.806259713623472e-05
2020-08-20,3.0562372663744952e-06
2020-08-21,2.278278999168215e-05
2020-08-24,-3.5006709619200826e-05
2020-08-25,2.1949419646283275e-05
2020-08-26,3.0561812236484798e-06
2020-08-27,3.056171883564218e-06
2020-08-28,2.0837471886858694e-05
2020-08-31,-1.416910690166251e-05
2020-09-01,-2.1950547916316232e-05
2020-09-02,3.3343336334201723e-06
2020-09-03,2.778602096409344e-05
2020-09-04,3.0563773814051842e-06
2020-09-08,-4.306660931852058e-05
2020-09-09,2.63968005964621e-05
2020-09-10,3.334244693675714e-06
2020-09-11,2.5562457419026074e-05
2020-09-14,3.0562839699044275e-06
2020-09-15,3.056274629154032e-06
2020-09-16,-1.7781907131753094e-05
2020-09-17,6.501625406363232e-05
2020-09-18,-1.778106727523543e-05
2020-09-21,2.7783257254831994e-06
2020-09-22,2.7783180061025092e-06
2020-09-23,-1.6114199665961948e-05
2020-09-24,2.1671169454062778e-05
2020-09-25,2.778294849514751e-06
2020-09-28,-1.4724839971558268e-05
2020-09-29,3.7507220139954e-05
2020-09-30,-1.4446683680446881e-05
2020-10-01,2.806272714117597e-05
2020-10-02,2.5005688795154413e-06
2020-10-05,-2.1671434382142252e-05
2020-10-06,2.7784492362403768e-06
2020-10-07,2.7784415168596865e-06
2020-10-08,2.611727769030736e-05
2020-10-09,-2.055987312887808e-05
2020-10-12,2.7784029184019232e-06
2020-10-13,-1.917092687275801e-05
2020-10-14,-1.8615604711280653e-05
2020-10-15,2.472865167169047e-05
2020-10-16,3.056274629154032e-06
2020-10-19,3.0562466066808014e-06
2020-10-20,2.3060699372745574e-05
2020-10-21,2.7783334444198005e-06
2020-10-22,2.2226605802977417e-05
2020-10-23,-1.6669583843831326e-05
2020-10-26,-1.5558451156194586e-05
2020-10-27,2.1115369377433524e-05
2020-10-28,2.778279411419504e-06
2020-10-29,2.0281383357190208e-05
2020-10-30,2.500393811999402e-06
2020-11-02,2.5005688795154413e-06
2020-11-03,-2.2227223347548453e-05
2020-11-04,2.7784646761119802e-06
2020-11-05,2.778456956287201e-06
2020-11-06,2.7784492362403768e-06
2020-11-09,-2.028251036356732e-05
